,Train_Loss,Test_Loss,Train_Accuracy,Test_Accuracy
0,2.1968229215143364,2.0480196177922285,0.16736666666666666,0.4162
1,1.5438497130756086,0.9363601891830374,0.5408,0.754
2,0.7044414567732447,0.5310173078344087,0.8075166666666667,0.8544
3,0.49117176113183136,0.42438441330469256,0.8621,0.8828
4,0.4253068936036726,0.38215614404242315,0.8779166666666667,0.8909
5,0.39210737083687763,0.35790547452126914,0.8853,0.8961
6,0.371560710412397,0.344167322946856,0.8914666666666666,0.9005
7,0.3578731604889019,0.3323566400985129,0.8959166666666667,0.9029
8,0.347329799348263,0.3241073093775014,0.89905,0.9055
9,0.339931782194447,0.3193264346370032,0.9004166666666666,0.9067
10,0.33388261703002886,0.3155909101660976,0.90225,0.9075
11,0.3298500105402415,0.31398274495294143,0.9036166666666666,0.908
12,0.3269140024248518,0.3115993679054995,0.9040166666666667,0.9072
13,0.32476578636418924,0.31336481291378565,0.90455,0.9071
14,0.3231684959972649,0.3140894377781654,0.9052166666666667,0.9065
15,0.32281964707588984,0.3139788817072485,0.9051166666666667,0.906
16,0.32343930006411814,0.3142226850912411,0.9048,0.9062
17,0.32384909617169866,0.31722360648794584,0.9047166666666666,0.9051
18,0.3247306601859668,0.31891872617387496,0.9040833333333333,0.9053
19,0.3258059251245321,0.3222303670440096,0.90335,0.9045
20,0.3277572418329761,0.3233763544221219,0.9034833333333333,0.9043
21,0.3297421724208297,0.3284514445624636,0.9029833333333334,0.9029
22,0.33195974677042756,0.3301823949737239,0.9026,0.9029
23,0.3343110642354155,0.33312218366212665,0.9028833333333334,0.9028
24,0.3368141213598021,0.3361048971860967,0.9017333333333334,0.9018
25,0.34009651464207624,0.3382749744189316,0.90105,0.9023
26,0.34270582538011,0.3400074445633907,0.9006333333333333,0.9021
27,0.34581589910394794,0.34236592059970217,0.8994333333333333,0.9005
28,0.348631291560551,0.34638229606137777,0.8988166666666667,0.8999
29,0.3522388320038119,0.3476155046635663,0.8973166666666667,0.9001
30,0.35399622714904133,0.35437115617407206,0.8973833333333333,0.8964
31,0.3570801739985728,0.3574420271784738,0.89655,0.8973
32,0.36004213169575805,0.356444390026593,0.8961333333333333,0.8989
33,0.36255420448515585,0.3606862695045044,0.8955833333333333,0.8973
34,0.3647441341914388,0.36025775677834104,0.8954333333333333,0.8976
35,0.36691095326456646,0.3634502281925148,0.8952333333333333,0.8953
36,0.36744949049232756,0.36155675310329527,0.8951166666666667,0.8977
37,0.36768005857228503,0.36025474725234546,0.89515,0.899
38,0.3652080912001,0.3584619424562865,0.8964166666666666,0.8992
39,0.3624224929918109,0.3562101311097279,0.89685,0.9007
40,0.35900738084649153,0.3513632079337937,0.8979666666666667,0.9032
41,0.3550365597967223,0.34909960886111274,0.8994,0.9028
42,0.3493220842386789,0.3460412133299407,0.9009833333333334,0.9031
43,0.34511699285918296,0.33958869324450963,0.9024833333333333,0.907
44,0.3399820534808239,0.3339876061961079,0.9033666666666667,0.9078
45,0.33599733075976973,0.3299599206796769,0.9044833333333333,0.9083
46,0.3313336601788118,0.32696945861286264,0.90605,0.9095
47,0.32719769561740375,0.32258488397245794,0.9070333333333334,0.9102
48,0.32315018692552566,0.31838009957688646,0.9085,0.9107
49,0.3199883761658504,0.3145104616341011,0.9094666666666666,0.9112
